timestamp,action,symbol,underlying,type,contracts,price,pnl,reason
2026-06-09T19:15:02.371743+00:00,CLOSE,SPY260609C00735000,SPY,call,2,1.46,-138.0,Stop loss hit
2026-06-09T19:15:04.783184+00:00,OPEN,SPY260609C00735000,SPY,call,2,1.395,0,Entry
2026-06-09T19:16:01.730424+00:00,CLOSE,IWM260609C00284000,IWM,call,2,0.72,-106.0,Stop loss hit
2026-06-09T19:16:01.915316+00:00,CLOSE,QQQ260609C00704000,QQQ,call,2,1.335,-182.0,Stop loss hit
2026-06-09T19:16:04.376477+00:00,OPEN,QQQ260609C00704000,QQQ,call,2,1.305,0,Entry
2026-06-09T19:16:05.456015+00:00,OPEN,IWM260609C00284000,IWM,call,2,0.7,0,Entry
2026-06-09T19:19:02.060858+00:00,CLOSE,SPY260609C00735000,SPY,call,2,0.92,-95.0,Stop loss hit
2026-06-09T19:19:04.061932+00:00,OPEN,SPY260609C00735000,SPY,call,2,0.9650000000000001,0,Entry
2026-06-09T19:20:02.180734+00:00,CLOSE,IWM260609C00284000,IWM,call,2,0.45,-50.0,Stop loss hit
2026-06-09T19:20:04.218230+00:00,OPEN,IWM260609C00284000,IWM,call,2,0.455,0,Entry
2026-06-09T19:34:01.834260+00:00,CLOSE,SPY260609C00735000,SPY,call,2,0.665,-60.0,Stop loss hit
2026-06-09T19:34:02.005768+00:00,CLOSE,IWM260609C00284000,IWM,call,2,0.715,52.0,Trailing stop hit
2026-06-09T19:40:02.261582+00:00,CLOSE,QQQ260609C00704000,QQQ,call,2,0.835,-94.0,Stop loss hit
2026-06-10T18:00:03.726132+00:00,OPEN,TSLA260610P00385000,TSLA,put,2,1.4749999999999999,0,Entry
2026-06-10T18:00:06.159213+00:00,OPEN,SPY260610P00730000,SPY,put,2,1.2750000000000001,0,Entry
2026-06-10T18:00:07.445322+00:00,OPEN,QQQ260610P00699000,QQQ,put,2,1.865,0,Entry
2026-06-10T18:00:08.998509+00:00,OPEN,IWM260610P00285000,IWM,put,2,0.8500000000000001,0,Entry
2026-06-10T18:05:01.968103+00:00,CLOSE,QQQ260610P00699000,QQQ,put,2,1.3050000000000002,-112.0,Stop loss hit
2026-06-10T18:05:04.500159+00:00,OPEN,QQQ260610P00699000,QQQ,put,2,1.3550000000000002,0,Entry
2026-06-10T18:12:02.050186+00:00,CLOSE,QQQ260610P00699000,QQQ,put,2,1.8,89.0,Trailing stop hit
2026-06-10T18:12:04.389925+00:00,OPEN,QQQ260610P00700000,QQQ,put,2,2.235,0,Entry
